PhoneId,Pixel Density,Screen Size,Weight,RAM,Processor_frequency,Screen to Body Ratio (calculated),Height,Internal Memory,Capacity,Resolution,Rating,Brand,OS Name,Sim 1,Sim 2,SIM Slot,Processesor
0,403,6.26,182,4,1.8,80.68,157.9,64,4000,20,4.5,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
1,271,6.2,168,3,1.8,80.85,156.2,32,4230,8,4.5,Realme,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
2,409,6.3,168,3,2.1,83.68,157,32,3500,25,4.4,Realme,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
4,411,6,169,4,2.2,74.78,159.8,64,3300,24,4.3,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
5,396,6.5,175,4,2.2,84.23,160.4,64,3750,16,4.4,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
7,402,6.41,156,6,2.2,84.98,157.9,64,3400,25,4.5,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
8,295,5.45,145,2,2,72.68,147.5,16,3000,5,4.3,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Quad
9,432,5.84,178,3,2,79.24,149.3,32,4000,5,4.1,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
10,271,6.2,168,2,1.8,80.85,156.2,16,4230,8,4.3,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
12,403,6.18,182,6,2.8,82.2,155.5,64,4000,20,4.5,Xiaomi Poco,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
14,402,6.41,185,6,2.8,85.43,157.5,128,3700,16,4.5,OnePlus,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
15,403,5.99,168,4,2.2,77.38,158.7,64,3010,20,4,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
17,432,5.84,152,3,2.36,79.07,149.2,32,3000,16,4.4,Honor,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
18,400,6.3,150,4,2.2,84.87,154.81,64,3260,24,4.4,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
20,270,6.22,161,4,2,82.6,155.1,32,4030,8,4.4,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
21,435,5.8,151,4,1.8,80.05,147.2,64,3060,16,4.4,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
22,403,6.18,180,4,2.2,82.03,154.8,64,3500,20,4.5,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
23,270,6.22,161,4,1.95,82.6,155.1,64,4030,20,4.4,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
26,409,6.3,176,4,2.36,82.98,157.9,64,3750,16,4.4,Honor,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
28,269,6.26,160,3,1.8,80.64,158.4,32,4000,8,4.4,Asus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
30,271,6.2,168,4,1.8,81.22,155.9,64,4230,16,4.4,OPPO,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
31,403,6.26,182,6,1.8,80.68,157.9,64,4000,20,4.5,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
33,270,6.22,143,2,2,82.66,155,16,3260,5,4.4,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
34,287,5.86,151,3,1.8,79.34,149.5,32,3060,8,4.3,Nokia,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
36,274,6,178,2,1.4,73.94,161.4,32,3300,5,4.2,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Quad
37,269,5.99,170,4,2,74.64,160.7,64,3080,16,4.3,Xiaomi,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
38,392,6.3,183,6,2.2,80.86,162.5,128,3800,24,4.3,Samsung,Android,4G,4G,"Dual SIM, GSM+GSM",Octa
42,388,6.59,199,8,2.8,86.47,162,128,4000,8,4.6,Vivo,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
44,403,6.26,175,4,1.95,81.64,157.9,64,5000,13,4.4,Asus,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
45,538,6.39,189,6,2.6,87.66,157.8,128,4200,24,4.5,Huawei,Android,4G,4G,"Dual SIM, GSM+GSM, Dual VoLTE",Octa
